slug,title,Description,taxa,slug_name
0,"Area near India, Asia","The region is made up of different habitats, including Mizoram-Manipur-Kachin rain forests, and Eastern Himalayan broadleaf forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and hot summers. It also has areas of warm and temperate climate with dry winters and warm summers. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Temperate Broadleaf and Mixed Forests. The location is predominantly land area. Area of 29.62Mha located in a mix of lowland and mountainous areas.",birds,1
1,"Area near Vietnam, Asia",The regions habitat is comprised of Northern Indochina subtropical forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with dry winters and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 3.08Mha located in a mountainous area.,birds,2
2,"Area near Jalisco, Mexico","The region is made up of different habitats, including Trans-Mexican Volcanic Belt pine-oak forests, and Balsas dry forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 7.27Mha located in a mix of lowland and mountainous areas.",birds,3
3,"Area near Mountain Province, Philippines","The majority of the regions habitat is comprised of Luzon rain forests. It also includes areas of Luzon tropical pine forests. This region has no Intact Forest. The area has a predominantly equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 590.08kha located in a mix of lowland and mountainous areas.",birds,4
4,"Area in Hawaii, in North America","The region is made up of different habitats, including Hawai'i tropical dry forests, and Hawai'i tropical moist forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with high humidity and warm summers. The region is made up of several types of biomes, including Tropical and Subtropical Dry Broadleaf Forests, and Tropical and Subtropical Moist Broadleaf Forests. The location is mostly marine area with a large proportion of land area. Area of 2.33Mha located in a predominanty lowland area.",birds,5
5,"Area between Oaxaca and Michoacán, Mexico","The region is made up of different habitats, including Balsas dry forests, and Sierra Madre del Sur pine-oak forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The region is made up of several types of biomes, including Tropical and Subtropical Coniferous Forests, and Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 8.46Mha located in a mountainous area.",birds,6
6,Area in Jamaica,"The regions habitat is comprised of Jamaican moist forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly marine area with a large proportion of land area. Area of 2.33Mha located in a predominanty lowland area.",birds,7
7,"Area near San Juan, Dominican Republic",The majority of the regions habitat is comprised of Hispaniolan pine forests. It also includes areas of Hispaniolan moist forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with high humidity and warm summers. It also has areas of equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Coniferous Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 589.59kha located in a mix of lowland and mountainous areas.,birds,8
8,"Area between Mexico and Nicaragua, in North America","The region is made up of different habitats, including Central American pine-oak forests, and Central American Atlantic moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Coniferous Forests. The location is mostly land area with some marine area. Area of 34.23Mha located in a predominanty lowland area.",birds,9
9,"Area near Bukidnon, Philippines","The majority of the regions habitat is comprised of Mindanao-Eastern Visayas rain forests. It also includes areas of Mindanao montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area.",birds,10
10,"Area in Monagas State, Venezuela","The region is made up of different habitats, including Llanos, and Orinoco wetlands. This region contains some Intact Forest. The area has a predominantly equatorial climate with dry winters. The region is made up of several types of biomes, including Tropical and Subtropical Grasslands, Savannas and Shrublands, and Flooded Grasslands and Savannas. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area.",birds,11
11,"Area near Peru, South America","The region is made up of different habitats, including Peruvian Yungas, and Southwest Amazon moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 187.24Mha located in a mix of lowland and mountainous areas.",birds,12
12,"Area between Guyana and Venezuela, in South America","The region is made up of different habitats, including Guianan Highlands moist forests, and Pantepui forests and shrublands. This region contains Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 3.97Mha located in a mix of lowland and mountainous areas.",birds,13
13,"Area near West, Cameroon","The region is made up of different habitats, including Cameroon Highlands forests, and Cross-Sanaga-Bioko coastal forests. This region contains some Intact Forest. The majority of the region has equatorial, with monsoonal rainfall. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.29Mha located in a mix of lowland and mountainous areas.",birds,14
14,"Area between Indonesia and Malaysia, in Asia","The majority of the regions habitat is comprised of Borneo montane rain forests. It also includes areas of Borneo lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.77Mha located in a mix of lowland and mountainous areas.",birds,15
15,"Area in West Papua, Indonesia","The region is made up of different habitats, including Vogelkop montane rain forests, and Vogelkop-Aru lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.74Mha located in a predominanty lowland area.",birds,16
16,"Area near Democratic Republic Congo, Africa","The region is made up of different habitats, including Albertine Rift montane forests, and Northeast Congolian lowland forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 8.39Mha located in a mountainous area.",birds,17
17,"Area near South Sulawesi, Indonesia","The majority of the regions habitat is comprised of Sulawesi montane rain forests. It also includes areas of Sulawesi lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.74Mha located in a mix of lowland and mountainous areas.",birds,18
18,"Area between Papua New Guinea and Indonesia, in Oceania","The region is made up of different habitats, including Central Range Papuan montane rain forests, and Southern New Guinea lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 51.77Mha located in a predominanty lowland area.",birds,19
19,"Area between Tanzania and Kenya, in Africa","The region is made up of different habitats, including Dry miombo woodlands, and Southern Acacia-Commiphora bushlands and thickets. This region contains some Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 11.69Mha located in a mix of lowland and mountainous areas.",birds,20
20,"Area between Rio de Janeiro and Minas Gerais, Brazil",The majority of the regions habitat is comprised of Bahia interior forests. It also includes areas of Campos Rupestres montane savanna. This region has no Intact Forest. The majority of the region has warm and temperate climate with dry winters and hot summers. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 5.45Mha located in a mix of lowland and mountainous areas.,birds,21
21,"Area between Paraná and São Paulo, Brazil","The region is made up of different habitats, including Araucaria moist forests, and Serra do Mar coastal forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with high humidity and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a mountainous area.",birds,22
22,"Area between Auckland and Waikato, New Zealand",The regions habitat is comprised of Northland temperate kauri forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with high humidity and warm summers. It is part of the Temperate Broadleaf and Mixed Forests biome. The location is mostly land area with some marine area. Area of 2.33Mha located in a predominanty lowland area.,birds,23
23,"Area in Southland, New Zealand","The region is made up of different habitats, including New Zealand South Island montane grasslands, and Fiordland temperate forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with high humidity and warm summers. It also has areas of warm and temperate climate with high humidity and cool summers. The majority of the region is comprised of Temperate Broadleaf and Mixed Forests. It also includes areas of Montane Grasslands and Shrublands. The location is mostly land area with some marine area. Area of 4.60Mha located in a predominanty lowland area.",birds,24
24,Area in Fiji,"The majority of the regions habitat is comprised of Fiji tropical moist forests. It also includes areas of Fiji tropical dry forests. This region has no Intact Forest. The area has a predominantly equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is mostly land area with a large proportion of marine area. Area of 1.09Mha located in a predominanty lowland area.",birds,25
25,New Caledonia,The majority of the regions habitat is comprised of New Caledonia dry forests. It also includes areas of New Caledonia rain forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is mostly marine area with some land area. Area of 581.10kha located in a predominanty lowland area.,birds,26
26,"Area between Cova Lima and Manufahi, East Timor",The regions habitat is comprised of Timor and Wetar deciduous forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is predominantly marine area. It has a total area of 547.67kha.,birds,27
27,"Area in East Nusa Tenggara, Indonesia",The regions habitat is comprised of Sumba deciduous forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is mostly marine area with a large proportion of land area. Area of 547.67kha located in a predominanty lowland area.,birds,28
28,"Area in Bahia, Brazil","The regions habitat is comprised of Bahia coastal forests. This region has no Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area.",birds,29
29,"Area near Sofia, Madagascar","The majority of the regions habitat is comprised of Madagascar subhumid forests. It also includes areas of Madagascar dry deciduous forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 1.72Mha located in a predominanty lowland area.",birds,30
30,"Area between East New Britain and West New Britain, Papua New Guinea","The majority of the regions habitat is comprised of New Britain-New Ireland montane rain forests. It also includes areas of New Britain-New Ireland lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with a large proportion of marine area. Area of 545.58kha located in a predominanty lowland area.",birds,31
31,"Area between Alagoas and Pernambuco, Brazil","The region is made up of different habitats, including Pernambuco coastal forests, and Pernambuco interior forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry summers. It also has areas of equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 1.08Mha located in a predominanty lowland area.",birds,32
32,"Area near North Western Province, Sri Lanka","The regions habitat is comprised of Sri Lanka dry-zone dry evergreen forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry summers. It also has areas of equatorial, humid climate. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area.",birds,33
33,"Area near India, Asia","The region is made up of different habitats, including Eastern Himalayan broadleaf forests, and Himalayan subtropical pine forests. This region has no Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of polar tundra climate. The region is made up of several types of biomes, including Temperate Broadleaf and Mixed Forests, and Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 542.23kha located in a mountainous area.",birds,34
34,"Area between Quintana Roo and Yucatán, Mexico",The majority of the regions habitat is comprised of Yucatán dry forests. It also includes areas of Yucatán moist forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 1.09Mha located in a lowland area.,birds,35
35,"Area near San Luis Potosi, Mexico",The majority of the regions habitat is comprised of Meseta Central matorral. It also includes areas of Sierra Madre Oriental pine-oak forests. This region has no Intact Forest. The majority of the region has warm and temperate climate with dry winters and hot summers. It also has areas of equatorial climate with dry winters. The majority of the region is comprised of Deserts and Xeric Shrublands. It also includes areas of Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 1.16Mha located in a mountainous area.,birds,36
36,"Area near Cambodia, Asia","The majority of the regions habitat is comprised of Southeast Indochina dry evergreen forests. It also includes areas of Central Indochina dry forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is predominantly land area. Area of 2.85Mha located in a predominanty lowland area.",birds,37
37,"Area between Pahang and Terengganu, Malaysia","The regions habitat is comprised of Peninsular Malaysian rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 581.04kha located in a predominanty lowland area.",birds,38
38,"Area near Riau, Indonesia","The regions habitat is comprised of Sumatran lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area.",birds,39
39,"Area near Myanmar, Asia","The region is made up of different habitats, including Northern Triangle subtropical forests, and Nujiang Langcang Gorge alpine conifer and mixed forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of warm and temperate climate with dry winters and hot summers. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Temperate Conifer Forests. The location is predominantly land area. Area of 12.73Mha located in a mountainous area.",mammals,1
40,"Area between South Lower California and Baja California, Mexico",The majority of the regions habitat is comprised of Baja California desert. It also includes areas of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly land area with some marine area. Area of 2.33Mha located in a predominanty lowland area.,mammals,2
41,"Area in South Lower California, Mexico",The majority of the regions habitat is comprised of Baja California desert. It also includes areas of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly land area with some marine area. Area of 2.33Mha located in a predominanty lowland area.,mammals,3
42,"Area near Vietnam, Asia","The region is made up of different habitats, including Northern Indochina subtropical forests, and Northern Annamites rain forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and hot summers. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 20.21Mha located in a predominanty lowland area.",mammals,4
43,"Area between Mexico and Chiapas, Mexico","The region is made up of different habitats, including Trans-Mexican Volcanic Belt pine-oak forests, and Balsas dry forests. This region contains some Intact Forest. The most common environmental conditions of the area are warm and temperate climate with dry winters and warm summers. The region is made up of several types of biomes, including Tropical and Subtropical Coniferous Forests, and Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 27.32Mha located in a mountainous area.",mammals,5
44,"Area near Guatemala, North America","The region is made up of different habitats, including Central American pine-oak forests, and Petén-Veracruz moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The region is made up of several types of biomes, including Tropical and Subtropical Coniferous Forests, and Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 17.11Mha located in a mix of lowland and mountainous areas.",mammals,6
45,"Area near Nueva Vizcaya, Philippines","The regions habitat is comprised of Luzon rain forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 5.92Mha located in a predominanty lowland area.",mammals,7
46,"Area near Bukidnon, Philippines","The regions habitat is comprised of Mindanao-Eastern Visayas rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 6.36Mha located in a predominanty lowland area.",mammals,8
47,"Area near Costa Rica, North America","The region is made up of different habitats, including Isthmian-Atlantic moist forests, and Isthmian-Pacific moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 12.70Mha located in a predominanty lowland area.",mammals,9
48,"Area near Peru, South America","The region is made up of different habitats, including Peruvian Yungas, and Magdalena Valley montane forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 113.86Mha located in a mix of lowland and mountainous areas.",mammals,10
49,Papua New Guinea,"The region is made up of different habitats, including Central Range Papuan montane rain forests, and Northern New Guinea lowland rain and freshwater swamp forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 52.38Mha located in a predominanty lowland area.",mammals,11
50,"Area near Liberia, Africa",The regions habitat is comprised of Western Guinean lowland forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.26Mha located in a predominanty lowland area.,mammals,12
51,"Area in Oromia Region, Ethiopia","The region is made up of different habitats, including Ethiopian montane grasslands and woodlands, and Somali Acacia-Commiphora bushlands and thickets. This region has no Intact Forest. The majority of the region has warm and temperate climate with high humidity and warm summers. It also has areas of warm and temperate climate with dry winters and warm summers. The region is made up of several types of biomes, including Montane Grasslands and Shrublands, and Tropical and Subtropical Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 2.92Mha located in a mountainous area.",mammals,13
52,"Area near Central Province, Sri Lanka","The majority of the regions habitat is comprised of Sri Lanka dry-zone dry evergreen forests. It also includes areas of Sri Lanka lowland rain forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 2.29Mha located in a predominanty lowland area.",mammals,14
53,"Area between Cameroon and Nigeria, in Africa","The region is made up of different habitats, including Cross-Sanaga-Bioko coastal forests, and Cameroon Highlands forests. This region contains some Intact Forest. The majority of the region has equatorial, with monsoonal rainfall. It also has areas of equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 12.85Mha located in a predominanty lowland area.",mammals,15
54,"Area near Indonesia, Asia","The majority of the regions habitat is comprised of Borneo lowland rain forests. It also includes areas of Borneo montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 11.55Mha located in a predominanty lowland area.",mammals,16
55,"Area between Indonesia and Malaysia, in Asia","The regions habitat is comprised of Peninsular Malaysian rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 4.69Mha located in a predominanty lowland area.",mammals,17
56,"Area between North Sumatra and Aceh, Indonesia","The majority of the regions habitat is comprised of Sumatran montane rain forests. It also includes areas of Sumatran lowland rain forests. This region contains Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 590.55kha located in a mix of lowland and mountainous areas.",mammals,18
57,"Area near Democratic Republic of the Congo, Africa",The majority of the regions habitat is comprised of Albertine Rift montane forests. It also includes areas of Northeast Congolian lowland forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 13.99Mha located in a mountainous area.,mammals,19
58,"Area near Laikipia, Kenya","The regions habitat is comprised of Northern Acacia-Commiphora bushlands and thickets. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of warm and temperate climate with high humidity and warm summers. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 1.74Mha located in a mountainous area.",mammals,20
