slug,title,Description,taxa,slug_name
59,"Area near West Sumatra, Indonesia","The region is made up of different habitats, including Sumatran montane rain forests, and Sumatran tropical pine forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a mix of lowland and mountainous areas.",mammals,21
60,"Area near South Sulawesi, Indonesia","The majority of the regions habitat is comprised of Sulawesi montane rain forests. It also includes areas of Sulawesi lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 11.67Mha located in a predominanty lowland area.",mammals,22
61,"Area in West Papua, Indonesia","The region is made up of different habitats, including Vogelkop montane rain forests, and Vogelkop-Aru lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 590.62kha located in a predominanty lowland area.",mammals,23
62,"Area between Kenya and Tanzania, in Africa","The region is made up of different habitats, including Northern Acacia-Commiphora bushlands and thickets, and Dry miombo woodlands. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of semi-arid climate with hot temperatures. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 16.54Mha located in a predominanty lowland area.",mammals,24
63,"Area between Madagascar and Comoros, in Africa","The region is made up of different habitats, including Madagascar subhumid forests, and Madagascar humid forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 53.20Mha located in a predominanty lowland area.",mammals,25
64,"Area in Queensland, Australia","The regions habitat is comprised of Einasleigh upland savanna. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 2.84Mha located in a predominanty lowland area.",mammals,26
65,"Area between Rio de Janeiro and Minas Gerais, Brazil",The majority of the regions habitat is comprised of Bahia interior forests. It also includes areas of Alto Paraná Atlantic forests. This region has no Intact Forest. The majority of the region has warm and temperate climate with dry winters and hot summers. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 7.08Mha located in a mix of lowland and mountainous areas.,mammals,27
66,"Area between Argentina and Bolivia, in South america","The region is made up of different habitats, including Dry Chaco, and High Monte. This region contains some Intact Forest. The most common environmental conditions of the area are warm and temperate climate with dry winters and hot summers. The region is made up of several types of biomes, including Montane Grasslands and Shrublands, and Tropical and Subtropical Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 14.83Mha located in a mountainous area.",mammals,28
67,"Area between Mendoza and San Juan, Argentina","The region is made up of different habitats, including Low Monte, and Southern Andean steppe. This region has no Intact Forest. The majority of the region has arid desert climate with cold temperatures. It also has areas of semi-arid climate with cold temperatures. The majority of the region is comprised of Montane Grasslands and Shrublands. It also includes areas of Temperate Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 1.73Mha located in a mountainous area.",mammals,29
68,"Area between Argentina and Chile, in South America","The majority of the regions habitat is comprised of Valdivian temperate forests. It also includes areas of Patagonian steppe. This region contains some Intact Forest. The area has a predominantly warm and temperate climate with dry summers. The majority of the region is comprised of Temperate Broadleaf and Mixed Forests. It also includes areas of Temperate Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 562.91kha located in a mountainous area.",mammals,30
69,"Area between Paraná and São Paulo, Brazil","The region is made up of different habitats, including Alto Paraná Atlantic forests, and Serra do Mar coastal forests. This region contains some Intact Forest. The area has a predominantly warm and temperate climate with high humidity and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.73Mha located in a mix of lowland and mountainous areas.",mammals,31
70,"Area in West Java, Indonesia","The majority of the regions habitat is comprised of Western Java montane rain forests. It also includes areas of Western Java rain forests. This region has no Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 545.61kha located in a predominanty lowland area.",mammals,32
71,"Area in Requena, Loreto, Peru","The majority of the regions habitat is comprised of Southwest Amazon moist forests. It also includes areas of Iquitos várzea. This region contains Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 545.55kha located in a predominanty lowland area.",mammals,33
72,"Area in Tamil Nadu, India",The regions habitat is comprised of South Deccan Plateau dry deciduous forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area.,mammals,34
73,"Area in Sichuan, People's Republic of China",The regions habitat is comprised of Southeast Tibet shrublands and meadows. This region has no Intact Forest. The majority of the region has snowy climate with dry winters and cool summers. It also has areas of snowy climate with dry winters and warm summers. It is part of the Montane Grasslands and Shrublands biome. The location is predominantly land area. Area of 581.58kha located in a mountainous area.,mammals,35
74,"Area in Sichuan, People's Republic of China",The majority of the regions habitat is comprised of Qionglai-Minshan conifer forests. It also includes areas of Southeast Tibet shrublands and meadows. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of snowy climate with dry winters and warm summers. The majority of the region is comprised of Temperate Conifer Forests. It also includes areas of Montane Grasslands and Shrublands. The location is predominantly land area. Area of 2.34Mha located in a mountainous area.,mammals,36
75,"Area in Ensenada, Baja California, Mexico",The majority of the region has semi-arid climate with hot temperatures. It also has areas of arid desert climate with hot temperatures. The location is predominantly marine area. It has a total area of 569.14kha.,mammals,37
76,"Area between North Sulawesi and Central Sulawesi, Indonesia","The regions habitat is comprised of Sulawesi lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly marine area with some land area. Area of 589.06kha located in a predominanty lowland area.",mammals,38
77,"Area between Gorontalo and North Sulawesi, Indonesia","The majority of the regions habitat is comprised of Sulawesi lowland rain forests. It also includes areas of Sulawesi montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly marine area. Area of 589.00kha located in a predominanty lowland area.",mammals,39
78,"Area near Riau, Indonesia","The regions habitat is comprised of Sumatran lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 606.55kha located in a predominanty lowland area.",mammals,40
79,"Area in Tshopo, Democratic Republic of the Congo","The regions habitat is comprised of Northeast Congolian lowland forests. This region contains a large amount of Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 580.93kha located in a mix of lowland and mountainous areas.",mammals,41
80,"Area in West Kalimantan, Indonesia","The regions habitat is comprised of Borneo lowland rain forests. This region has no Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 545.34kha located in a predominanty lowland area.",mammals,42
81,"Area in North Sumatra, Indonesia","The majority of the regions habitat is comprised of Sumatran montane rain forests. It also includes areas of Sumatran lowland rain forests. This region has no Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 589.18kha located in a mountainous area.",mammals,43
82,"Area in South Lower California, Mexico",The majority of the regions habitat is comprised of Baja California desert. It also includes areas of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly land area with some marine area. Area of 2.33Mha located in a predominanty lowland area.,reptiles,1
83,"Area near Cienfuegos, Cuba",The regions habitat is comprised of Cuban dry forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is predominantly land area. Area of 1.18Mha located in a predominanty lowland area.,reptiles,2
84,"Area near Vietnam, Asia",The majority of the regions habitat is comprised of Northern Indochina subtropical forests. It also includes areas of South China-Vietnam subtropical evergreen forests. This region has no Intact Forest. The area has a predominantly warm and temperate climate with dry winters and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 7.22Mha located in a predominanty lowland area.,reptiles,3
85,"Area near Cuba, North america","The region is made up of different habitats, including Cuban dry forests, and Cuban moist forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is mostly marine area with some land area. Area of 8.96Mha located in a predominanty lowland area.",reptiles,4
86,"Area between Nicaragua and Mexico, in North America","The region is made up of different habitats, including Central American pine-oak forests, and Balsas dry forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The region is made up of several types of biomes, including Tropical and Subtropical Coniferous Forests, and Tropical and Subtropical Dry Broadleaf Forests. The location is predominantly land area. Area of 50.24Mha located in a mix of lowland and mountainous areas.",reptiles,5
87,"Area between Dominican Republic and Haiti, in North America","The region is made up of different habitats, including Hispaniolan moist forests, and Hispaniolan pine forests. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, humid climate. The region is made up of several types of biomes, including Tropical and Subtropical Moist Broadleaf Forests, and Tropical and Subtropical Coniferous Forests. The location is predominantly land area. Area of 4.08Mha located in a predominanty lowland area.",reptiles,6
88,"Area near Laos, Asia","The region is made up of different habitats, including Southeast Indochina dry evergreen forests, and Southern Annamites montane rain forests. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 16.64Mha located in a predominanty lowland area.",reptiles,7
89,"Area near Mountain Province, Philippines","The majority of the regions habitat is comprised of Luzon rain forests. It also includes areas of Luzon tropical pine forests. This region contains some Intact Forest. The area has a predominantly equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.84Mha located in a mix of lowland and mountainous areas.",reptiles,8
90,"Area near Costa Rica, North America","The region is made up of different habitats, including Isthmian-Atlantic moist forests, and Isthmian-Pacific moist forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 11.56Mha located in a predominanty lowland area.",reptiles,9
91,"Area near Colombia, South America","The region is made up of different habitats, including Eastern Cordillera Real montane forests, and Magdalena Valley montane forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 77.74Mha located in a mix of lowland and mountainous areas.",reptiles,10
92,"Area near Kerala, India","The region is made up of different habitats, including South Western Ghats moist deciduous forests, and South Western Ghats montane rain forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 3.98Mha located in a predominanty lowland area.",reptiles,11
93,"Area near Monagas State, Venezuela","The region is made up of different habitats, including La Costa xeric shrublands, and Araya and Paria xeric scrub. This region contains some Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Deserts and Xeric Shrublands. It also includes areas of Tropical and Subtropical Grasslands, Savannas and Shrublands. The location is mostly land area with some marine area. Area of 2.33Mha located in a predominanty lowland area.",reptiles,12
94,"Area between India and Sri Lanka, in Asia","The majority of the regions habitat is comprised of Sri Lanka dry-zone dry evergreen forests. It also includes areas of Sri Lanka lowland rain forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is mostly land area with some marine area. Area of 5.78Mha located in a predominanty lowland area.",reptiles,13
95,"Area between Malaysia and Indonesia, in Asia","The region is made up of different habitats, including Borneo montane rain forests, and Sunda Shelf mangroves. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 5.11Mha located in a predominanty lowland area.",reptiles,14
96,"Area near Malaysia, Asia","The regions habitat is comprised of Peninsular Malaysian rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 15.31Mha located in a predominanty lowland area.",reptiles,15
97,"Area between West Sumatra and Riau, Indonesia","The regions habitat is comprised of Sumatran lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area.",reptiles,16
98,"Area between Kenya and Tanzania, in Africa","The region is made up of different habitats, including Dry miombo woodlands, and Northern Acacia-Commiphora bushlands and thickets. This region contains some Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Grasslands, Savannas and Shrublands. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 8.49Mha located in a predominanty lowland area.",reptiles,17
99,"Area near Hela, Papua New Guinea","The regions habitat is comprised of Central Range Papuan montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.74Mha located in a mountainous area.",reptiles,18
100,"Area near Central, Papua New Guinea","The regions habitat is comprised of Southeast Papuan rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.84Mha located in a mix of lowland and mountainous areas.",reptiles,19
101,"Area near Pasco, Peru",The majority of the regions habitat is comprised of Peruvian Yungas. It also includes areas of Central Andean wet puna. This region contains some Intact Forest. The most common environmental conditions of the area are warm and temperate climate with high humidity and warm summers. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Montane Grasslands and Shrublands. The location is predominantly land area. Area of 3.52Mha located in a mountainous area.,reptiles,20
102,"Area between Madagascar and Comoros, in Africa","The region is made up of different habitats, including Madagascar subhumid forests, and Madagascar humid forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Deserts and Xeric Shrublands. The location is predominantly land area. Area of 33.86Mha located in a mix of lowland and mountainous areas.",reptiles,21
103,"Area between Apurímac and Cusco, Peru",The majority of the regions habitat is comprised of Peruvian Yungas. It also includes areas of Central Andean wet puna. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of warm and temperate climate with dry winters and cool summers. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Montane Grasslands and Shrublands. The location is predominantly land area. Area of 591.02kha located in a mountainous area.,reptiles,22
104,"Area in Queensland, Australia","The majority of the regions habitat is comprised of Einasleigh upland savanna. It also includes areas of Cape York Peninsula tropical savanna. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of warm and temperate climate with dry winters and hot summers. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 4.70Mha located in a predominanty lowland area.",reptiles,23
105,New Caledonia,The majority of the regions habitat is comprised of New Caledonia rain forests. It also includes areas of New Caledonia dry forests. This region has no Intact Forest. The most common environmental conditions of the area are equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Dry Broadleaf Forests. The location is mostly marine area with a large proportion of land area. Area of 2.33Mha located in a predominanty lowland area.,reptiles,24
106,"Area between Argentina and Chile, in South America",The majority of the regions habitat is comprised of High Monte. It also includes areas of Central Andean puna. This region has no Intact Forest. The most common environmental conditions of the area are arid desert climate with cold temperatures. It is part of the Montane Grasslands and Shrublands biome. The location is predominantly land area. Area of 9.77Mha located in a mountainous area.,reptiles,25
107,"Area between Argentina and Chile, in South America","The region is made up of different habitats, including Patagonian steppe, and Southern Andean steppe. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry summers. It also has areas of polar tundra climate. The region is made up of several types of biomes, including Temperate Grasslands, Savannas and Shrublands, and Montane Grasslands and Shrublands. The location is predominantly land area. Area of 11.06Mha located in a mountainous area.",reptiles,26
108,"Area between Western Cape and Northern Cape, Republic of South Africa","The majority of the regions habitat is comprised of Succulent Karoo xeric shrublands. It also includes areas of Fynbos shrubland. This region has no Intact Forest. The majority of the region has semi-arid climate with cold temperatures. It also has areas of semi-arid climate with hot temperatures. The majority of the region is comprised of Deserts and Xeric Shrublands. It also includes areas of Mediterranean Forests, Woodlands and Scrub. The location is predominantly land area. Area of 543.80kha located in a predominanty lowland area.",reptiles,27
109,"Area in Menabe, Madagascar",The regions habitat is comprised of Madagascar dry deciduous forests. This region has no Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of semi-arid climate with hot temperatures. It is part of the Tropical and Subtropical Dry Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 588.44kha located in a predominanty lowland area.,reptiles,28
110,"Area in Papua, Indonesia","The majority of the regions habitat is comprised of Central Range Papuan montane rain forests. It also includes areas of Papuan Central Range sub-alpine grasslands. This region contains Intact Forest. The area has a predominantly equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Montane Grasslands and Shrublands. The location is predominantly land area. Area of 580.73kha located in a mountainous area.",reptiles,29
111,"Area in North Sumatra, Indonesia","The majority of the regions habitat is comprised of Sumatran montane rain forests. It also includes areas of Sumatran lowland rain forests. This region has no Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 566.31kha located in a mountainous area.",reptiles,30
112,"Area between Centre and Littoral, Cameroon","The majority of the regions habitat is comprised of Cross-Sanaga-Bioko coastal forests. It also includes areas of Congolian coastal forests. This region contains some Intact Forest. The area has a predominantly equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.21Mha located in a predominanty lowland area.",reptiles,31
113,"Area near Northern Mindanao, Philippines","The majority of the regions habitat is comprised of Mindanao-Eastern Visayas rain forests. It also includes areas of Mindanao montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 1.16Mha located in a predominanty lowland area.",reptiles,32
114,"Area between South Lower California and Baja California, Mexico",The regions habitat is comprised of Baja California desert. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly marine area with some land area. Area of 613.22kha located in a predominanty lowland area.,reptiles,33
115,"Area in Mulegé, South Lower California, Mexico",The regions habitat is comprised of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly marine area with some land area. Area of 607.23kha located in a predominanty lowland area.,reptiles,34
116,"Area in Ensenada, Baja California, Mexico",The regions habitat is comprised of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly land area with a large proportion of marine area. Area of 615.39kha located in a predominanty lowland area.,reptiles,35
117,"Area near Masbate, Philippines","The regions habitat is comprised of Greater Negros-Panay rain forests. This region has no Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly marine area. Area of 546.45kha located in a lowland area.",reptiles,36
118,"Area between Southwest and Littoral, Cameroon","The majority of the regions habitat is comprised of Cameroon Highlands forests. It also includes areas of Cross-Sanaga-Bioko coastal forests. This region contains some Intact Forest. The area has a predominantly equatorial, with monsoonal rainfall. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 606.65kha located in a predominanty lowland area.",reptiles,37
119,"Area in Bolivar State, Venezuela","The majority of the regions habitat is comprised of Guianan piedmont moist forests. It also includes areas of Guianan Highlands moist forests. This region contains a large amount of Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 590.77kha located in a predominanty lowland area.",reptiles,38
